id,geo_id,vaccine_id,FirstDose,SecondDose,NumberDosesReceived,week_start
313,30,3,1445,16018,19890,2021-01-22
314,31,1,0,0,0,2021-01-22
315,31,3,39678,6848,31590,2021-01-22
316,31,4,70,0,6000,2021-01-22
317,0,1,0,0,36000,2021-01-29
318,0,3,16379,74523,66690,2021-01-29
319,0,4,1512,1,28800,2021-01-29
320,1,1,0,0,48000,2021-01-29
321,1,3,33907,92201,97110,2021-01-29
322,1,4,9544,10,25200,2021-01-29
323,2,1,10,0,28800,2021-01-29
324,2,3,10443,4306,17550,2021-01-29
325,2,4,1152,2,0,2021-01-29
326,4,3,3432,4356,4770,2021-01-29
327,5,3,20120,57202,76050,2021-01-29
328,5,4,4129,0,13100,2021-01-29
329,6,3,348190,449618,747630,2021-01-29
330,6,4,25139,0,0,2021-01-29
331,7,3,7017,52262,53820,2021-01-29
332,7,4,3373,2,8640,2021-01-29
333,9,3,7519,7207,10530,2021-01-29
334,9,4,52,0,2400,2021-01-29
335,10,3,84785,41095,91260,2021-01-29
336,10,4,0,0,12000,2021-01-29
337,11,3,52238,440120,400140,2021-01-29
338,11,4,20031,0,156300,2021-01-29
339,13,1,0,0,24000,2021-01-29
340,13,3,21601,32664,47970,2021-01-29
341,13,4,830,0,NULL,2021-01-29
342,13,6,0,0,NULL,2021-01-29
343,14,1,1578,0,273600,2021-01-29
344,14,3,337710,227443,560430,2021-01-29
345,14,4,23728,4,147500,2021-01-29
346,14,6,0,0,NULL,2021-01-29
347,15,3,3091,12078,18720,2021-01-29
348,15,4,434,0,8400,2021-01-29
349,15,6,49,140,NULL,2021-01-29
350,16,1,0,0,40800,2021-01-29
351,16,3,33345,49807,85410,2021-01-29
352,16,4,10859,297,0,2021-01-29
353,16,5,0,0,40000,2021-01-29
354,17,1,1,0,21600,2021-01-29
355,17,3,8160,43049,43290,2021-01-29
356,17,4,0,0,0,2021-01-29
357,18,1,0,0,1200,2021-01-29
358,18,3,2078,35,2340,2021-01-29
359,19,1,0,0,0,2021-01-29
360,19,3,63130,523525,510120,2021-01-29
361,19,4,10393,0,66000,2021-01-29
362,20,3,5205,23913,29118,2021-01-29
363,20,4,1668,0,1668,2021-01-29
364,21,1,0,0,2400,2021-01-29
365,21,3,2567,2008,4680,2021-01-29
366,21,4,625,0,1200,2021-01-29
367,22,1,0,0,7200,2021-01-29
368,22,3,162,7776,0,2021-01-29
369,22,4,537,0,0,2021-01-29
370,23,3,7290,5818,NULL,2021-01-29
371,23,4,46,3,NULL,2021-01-29
372,24,1,0,0,79200,2021-01-29
373,24,3,168961,50335,159120,2021-01-29
374,24,4,10002,0,0,2021-01-29
375,24,6,0,0,0,2021-01-29
376,25,6,66276,25496,80400,2021-01-29
377,26,1,0,0,124800,2021-01-29
378,26,3,236206,253571,321750,2021-01-29
379,26,4,4795,0,0,2021-01-29
380,27,1,5,0,43200,2021-01-29
381,27,3,14602,37240,86580,2021-01-29
382,27,4,6717,0,0,2021-01-29
383,28,3,38688,93998,163800,2021-01-29
384,28,4,31625,0,42000,2021-01-29
385,29,1,0,0,NULL,2021-01-29
386,29,3,40044,54226,94770,2021-01-29
387,29,4,4144,0,15600,2021-01-29
388,30,3,871,18213,17550,2021-01-29
389,30,4,419,0,7200,2021-01-29
390,30,6,0,1,NULL,2021-01-29
391,31,1,0,0,21600,2021-01-29
392,31,3,44957,21596,45630,2021-01-29
393,31,4,1599,0,0,2021-01-29
394,0,1,10203,0,43200,2021-02-05
395,0,3,13094,84216,66690,2021-02-05
396,0,4,3826,79,0,2021-02-05
397,1,1,303,0,57600,2021-02-05
398,1,3,22653,110725,98280,2021-02-05
399,1,4,9188,11,0,2021-02-05
400,2,1,2025,0,31200,2021-02-05
401,2,3,12340,2859,39780,2021-02-05
402,2,4,679,447,6000,2021-02-05
403,4,1,581,0,7200,2021-02-05
404,4,3,6058,4612,4680,2021-02-05
405,5,1,1247,0,40800,2021-02-05
406,5,3,20145,69031,77220,2021-02-05
407,5,4,8553,2020,22900,2021-02-05
408,6,1,54909,0,736800,2021-02-05
409,6,3,368626,405358,747630,2021-02-05
410,6,4,21675,12311,0,2021-02-05
411,7,1,16203,0,47880,2021-02-05
412,7,3,17992,26867,56160,2021-02-05
413,7,4,5797,869,2160,2021-02-05
414,9,1,0,0,16800,2021-02-05
415,9,3,5036,4711,10530,2021-02-05
416,9,4,26,1,0,2021-02-05
417,10,1,1,0,96000,2021-02-05
418,10,3,53083,75295,91260,2021-02-05
419,10,4,1,0,24000,2021-02-05
420,11,1,33986,0,292500,2021-02-05
421,11,3,112107,276165,400140,2021-02-05
422,11,4,42282,6276,NULL,2021-02-05
423,13,1,3902,0,26400,2021-02-05
424,13,3,33969,16168,47970,2021-02-05
425,13,4,1059,0,12000,2021-02-05
426,13,6,0,0,NULL,2021-02-05
427,14,1,47751,0,316800,2021-02-05
428,14,3,269127,419948,566280,2021-02-05
429,14,4,47831,621,0,2021-02-05
430,14,6,0,0,NULL,2021-02-05
431,15,1,3114,1,38400,2021-02-05
432,15,3,6906,11748,18720,2021-02-05
433,15,4,3241,1288,NULL,2021-02-05
434,15,6,158,127,NULL,2021-02-05
